date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis,num_interest_point_selections,num_theme_selections,num_taps,num_animation_starts,num_animation_stops,num_reset_home_view
2012-11-29 00:00:00.000,2012-11-29 13:21:49.107,2012-11-29 13:24:50.539,1354165200000,1354213309107,1354213490539,181432,0,0,0,35,36,1
2012-11-29 00:00:00.000,2012-11-29 13:40:40.881,2012-11-29 13:53:07.939,1354165200000,1354214440881,1354215187939,747058,9,4,0,80,79,9
2012-11-29 00:00:00.000,2012-11-29 13:59:19.999,2012-11-29 13:59:20.585,1354165200000,1354215559999,1354215560585,586,0,0,0,1,2,0
2012-11-29 00:00:00.000,2012-11-29 14:00:56.983,2012-11-29 14:06:36.016,1354165200000,1354215656983,1354215996016,339033,4,7,6,9,8,10
2012-11-29 00:00:00.000,2012-11-29 14:30:32.124,2012-11-29 14:34:16.468,1354165200000,1354217432124,1354217656468,224344,1,0,0,17,18,2
2012-11-29 00:00:00.000,2012-11-29 16:56:07.368,2012-11-29 16:59:24.402,1354165200000,1354226167368,1354226364402,197034,0,0,0,4,3,1
2012-11-29 00:00:00.000,2012-11-29 17:07:26.800,2012-11-29 17:10:29.228,1354165200000,1354226846800,1354227029228,182428,0,0,0,27,28,1
2012-11-29 00:00:00.000,2012-11-29 17:16:11.817,2012-11-29 17:19:34.876,1354165200000,1354227371817,1354227574876,203059,0,0,0,29,28,1
2012-11-29 00:00:00.000,2012-11-29 17:41:47.860,2012-11-29 17:44:50.892,1354165200000,1354228907860,1354229090892,183032,0,0,0,2,2,1
2012-11-29 00:00:00.000,2012-11-29 17:58:01.840,2012-11-29 18:02:47.994,1354165200000,1354229881840,1354230167994,286154,1,6,0,19,20,8
2012-11-29 00:00:00.000,2012-11-29 18:08:12.423,2012-11-29 18:22:08.515,1354165200000,1354230492423,1354231328515,836092,3,9,0,47,46,11
2012-11-29 00:00:00.000,2012-11-29 18:35:09.389,2012-11-29 18:41:34.399,1354165200000,1354232109389,1354232494399,385010,6,13,0,65,66,17
