date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-09-11 00:00:00.000	2012-09-11 06:51:18.661	2012-09-11 20:55:21.861	1347321600000	1347346278661	1347396921861	56	14917831	35377763	56	3	264	31	71	40	39	42	41	261	4	2	
2012-09-12 00:00:00.000	2012-09-12 06:51:29.190	2012-09-12 20:55:02.465	1347408000000	1347432689190	1347483302465	21	16321625	33773534	0	1	287	44	68	39	42	49	45	287	0	0	
2012-09-13 00:00:00.000	2012-09-13 06:51:24.546	2012-09-13 20:55:14.635	1347494400000	1347519084546	1347569714635	20	15856418	34210403	0	1	281	42	68	41	44	41	45	282	0	0	
2012-09-14 00:00:00.000	2012-09-14 06:51:19.567	2012-09-14 20:54:51.611	1347580800000	1347605479567	1347656091611	19	21487625	28423522	0	1	378	45	90	60	55	65	63	378	0	0	
2012-09-15 00:00:00.000	2012-09-15 07:46:03.545	2012-09-15 17:55:09.838	1347667200000	1347695163545	1347731709838	57	17092932	18959248	58	3	304	42	74	45	42	43	58	301	4	2	
2012-09-16 00:00:00.000	2012-09-16 07:45:53.543	2012-09-16 23:59:50.084	1347753600000	1347781553543	1347839990084	57	17436344	40615297	997	3	308	42	73	49	44	46	54	303	4	2	
2012-09-17 00:00:00.000	2012-09-17 00:00:03.095	2012-09-17 20:54:37.858	1347840000000	1347840003095	1347915277858	18	15195919	59529969	1031	1	267	38	62	49	37	40	41	267	2	1	
2012-09-18 00:00:00.000	2012-09-18 06:51:00.497	2012-09-18 20:54:35.146	1347926400000	1347951060497	1348001675146	38	16812448	33201095	32	2	298	37	73	47	44	46	51	298	2	1	
2012-09-19 00:00:00.000	2012-09-19 06:50:40.873	2012-09-19 20:54:43.299	1348012800000	1348037440873	1348088083299	38	17611949	32403792	28	2	311	43	76	54	42	49	47	311	2	1	
2012-09-20 00:00:00.000	2012-09-20 06:50:52.790	2012-09-20 20:54:41.786	1348099200000	1348123852790	1348174481786	40	2032012	48465071	27	2	38	4	11	4	10	2	7	39	2	1	
2012-09-21 00:00:00.000	2012-09-21 06:50:29.393	2012-09-21 20:54:38.378	1348185600000	1348210229393	1348260878378	20	22391251	27743956	0	1	396	56	99	58	63	63	57	393	0	0	
2012-09-22 00:00:00.000	2012-09-22 07:45:29.692	2012-09-22 17:54:09.961	1348272000000	1348299929692	1348336449961	126	15960845	19974942	2067	7	283	48	66	43	40	45	41	280	12	6	
2012-09-23 00:00:00.000	2012-09-23 07:45:36.892	2012-09-23 23:59:49.269	1348358400000	1348386336892	1348444789269	21	6605688	51615470	0	1	115	16	28	18	16	21	16	116	0	0	
